Date,GFNORTEO.MX,GFINBURO.MX,GAPB.MX,HERDEZ.MX
2012-01-01,42.683975,24.214586,34.229961,21.671474
2012-02-01,42.733276,22.782784,33.731949,22.308872
2012-03-01,46.882656,23.908413,33.170803,22.521339
2012-04-01,51.787735,25.799479,35.54866,24.476019
2012-05-01,52.851185,26.663961,35.80117,24.306046
2012-06-01,56.995811,27.315475,38.338127,26.768005
2012-07-01,58.872524,31.550781,37.895962,28.386335
2012-08-01,55.615128,32.570908,37.72924,27.424089
2012-09-01,60.153976,32.807716,39.32394,28.972429
2012-10-01,60.145706,31.760281,45.470806,31.028143
2012-11-01,61.426735,32.652874,48.473549,31.526758
2012-12-01,69.158936,35.71323,53.796932,34.728424
2013-01-01,72.656273,32.452499,57.928417,35.148315
2013-02-01,78.758934,32.807716,57.730984,33.809921
2013-03-01,81.947823,32.816826,53.248505,39.714622
2013-04-01,76.035095,32.40696,50.828125,38.682396
2013-05-01,68.020813,26.705227,50.84095,34.990864
2013-06-01,63.835537,26.334585,49.206478,36.940529
2013-07-01,67.521576,27.558378,49.851269,36.64608
2013-08-01,69.628387,26.205765,49.95623,38.100502
2013-09-01,68.160614,27.595184,50.061199,39.528149
2013-10-01,69.453255,30.926111,50.893429,40.491825
2013-11-01,74.918808,31.855457,51.665688,41.089649
2013-12-01,76.373383,33.980999,52.810711,41.464413
2014-01-01,71.189781,30.686872,54.883789,37.395599
2014-02-01,72.705688,29.205439,53.786716,31.078238
2014-03-01,74.226906,30.916908,57.668091,34.593826
2014-04-01,73.297272,30.788084,59.529327,34.691978
2014-05-01,78.761162,32.416744,59.809269,35.602112
2014-06-01,78.600197,35.796318,68.208366,35.289803
2014-07-01,74.42411,37.452175,69.134941,33.380322
2014-08-01,78.140625,36.959137,71.292145,32.675423
2014-09-01,72.818077,35.824223,71.229332,32.095432
2014-10-01,73.335899,37.619621,71.959763,30.623165
2014-11-01,67.083183,34.912567,74.512344,32.104362
2014-12-01,69.126328,35.424213,72.8237,31.622522
2015-01-01,64.759109,35.954464,77.834663,30.739161
2015-02-01,69.328918,39.052219,79.601852,33.380322
2015-03-01,75.588066,35.833523,78.541542,35.066738
2015-04-01,74.700005,34.07534,85.790909,37.252827
2015-05-01,74.436996,32.717159,86.050095,35.602112
2015-06-01,73.846146,33.513035,84.60495,36.691353
2015-07-01,72.613091,34.416252,99.896988,39.554451
2015-08-01,69.052879,33.259007,105.26136,37.603172
2015-09-01,71.105301,32.873257,117.058716,40.767155
2015-10-01,76.386681,31.24559,118.452072,41.651611
2015-11-01,76.850403,29.834316,121.297165,40.876579
2015-12-01,81.821045,29.260399,122.302605,40.821865
2016-01-01,81.510956,27.416334,122.535873,39.517975
2016-02-01,78.918251,30.464685,115.296654,34.949795
2016-03-01,84.348999,32.449879,123.983711,34.749195
2016-04-01,84.556778,31.781872,130.386429,34.72184
2016-05-01,83.552528,28.95933,150.085098,35.867664
2016-06-01,88.755615,29.558167,154.045151,37.029438
2016-07-01,89.326332,28.728632,151.297546,35.84
2016-08-01,88.038933,31.274448,153.167526,37.296829
2016-09-01,89.909149,29.176773,152.788086,39.327908
2016-10-01,98.424347,29.243517,151.609665,42.760696
2016-11-01,87.203392,26.75491,145.402206,38.768211
2016-12-01,90.457375,29.910959,148.340088,35.130188
2017-01-01,88.379417,29.472355,135.500366,34.561165
2017-02-01,88.290993,27.346075,145.773834,34.87833
2017-03-01,95.196884,29.586773,152.734589,36.118988
2017-04-01,97.544304,30.311426,162.362289,39.029396
2017-05-01,96.183426,29.462818,156.374359,36.660023
2017-06-01,103.310112,29.976915,174.224228,36.993938
2017-07-01,108.326241,31.108301,173.772461,37.889793
2017-08-01,111.905907,28.913219,168.103928,41.284595
2017-09-01,115.265289,32.210682,163.584381,41.520351
2017-10-01,104.434494,31.86256,159.573761,38.681919
2017-11-01,104.810822,31.833548,162.785767,40.650761
2017-12-01,98.973213,31.05995,180.192978,43.950932
2018-01-01,98.551003,32.71352,181.200577,43.662289
2018-02-01,103.865425,29.125957,162.386795,44.441628
2018-03-01,102.002151,29.096949,160.166595,44.249199
2018-04-01,107.408371,30.131636,173.46106,43.075378
2018-05-01,97.477089,27.240313,151.526535,37.937508
2018-06-01,107.454269,27.307964,163.965012,40.74913
2018-07-01,123.24189,30.156637,157.036911,39.415489
2018-08-01,124.09536,29.822655,175.868515,40.057976
2018-09-01,128.305847,28.840355,190.096573,41.206661
2018-10-01,105.982712,25.863981,156.152756,36.738472
2018-11-01,88.334732,26.93469,131.11998,41.219383
2018-12-01,90.828773,27.789293,152.477554,40.44017
2019-01-01,100.672195,27.209736,167.648956,41.179928
2019-02-01,99.429909,28.250973,175.434082,42.12682
2019-03-01,100.084244,26.41407,168.322952,42.708763
2019-04-01,113.635544,28.506372,188.288818,40.075222
2019-05-01,101.079964,25.539824,187.341309,39.601776
2019-06-01,105.603386,27.76,195.243683,41.130001
2019-07-01,96.480003,23.52,187.849258,40.110001
2019-08-01,107.82,24.77,186.764999,41.779999
2019-09-01,106.360001,25.15,190.460007,41.82
