Date,AAPL,MSFT,KO,NKE
2012-01-01,56.910862,24.440378,26.530993,23.635225
2012-02-01,67.627808,26.26947,27.446392,24.528452
2012-03-01,74.747902,26.875616,29.076834,24.646637
2012-04-01,72.806702,26.675678,30.203966,25.511318
2012-05-01,72.027489,24.318024,29.574728,24.669842
2012-06-01,72.809204,25.651567,30.944036,20.084307
2012-07-01,76.145485,24.712381,32.195293,21.358742
2012-08-01,82.937683,25.844444,29.804548,22.276237
2012-09-01,83.526672,25.120886,30.226908,21.795179
2012-10-01,74.539169,24.091064,29.830626,20.984547
2012-11-01,73.282082,22.470367,30.424356,22.385353
2012-12-01,66.936584,22.731602,29.284029,23.698893
2013-01-01,57.291748,23.361383,30.083775,24.93133
2013-02-01,55.519497,23.659254,31.279373,25.120451
2013-03-01,56.002468,24.550192,32.66885,27.324799
2013-04-01,56.017647,28.403057,34.443199,29.450216
2013-05-01,56.896927,29.947638,32.539192,28.551895
2013-06-01,50.498455,29.84655,32.636822,29.585991
2013-07-01,57.630104,27.513439,32.837833,29.232889
2013-08-01,62.047932,28.861458,31.281132,29.18643
2013-09-01,61.115425,28.960409,31.035341,33.861046
2013-10-01,67.005836,30.81395,32.655754,35.315434
2013-11-01,71.2836,33.180908,33.167427,36.891022
2013-12-01,72.338036,32.80125,34.33054,36.657948
2014-01-01,64.547462,33.178257,31.430189,34.065346
2014-02-01,67.85347,33.59037,31.745987,36.613815
2014-03-01,69.621613,36.209713,32.128262,34.643658
2014-04-01,76.541756,35.688511,34.166965,34.216827
2014-05-01,82.107712,36.165543,34.267494,36.074238
2014-06-01,84.85022,37.096779,35.482056,36.489243
2014-07-01,87.288086,38.395622,33.158047,36.29163
2014-08-01,93.588165,40.415028,35.208794,36.959789
2014-09-01,92.447876,41.499958,36.002094,42.097607
2014-10-01,99.100471,42.028111,35.601311,43.876842
2014-11-01,109.129799,42.797955,38.109051,46.859554
2014-12-01,101.723541,41.842781,36.138412,45.377644
2015-01-01,107.971832,36.392864,35.239662,43.662231
2015-02-01,118.385651,39.50066,37.062851,45.96722
2015-03-01,115.124252,36.887737,34.708977,47.624249
2015-04-01,115.790398,44.127377,35.005608,46.916977
2015-05-01,120.536766,42.512527,35.350826,48.260319
2015-06-01,116.534195,40.314255,33.857742,51.414482
2015-07-01,112.697105,42.642704,35.746902,54.841492
2015-08-01,104.911461,39.738991,34.215378,53.189869
2015-09-01,102.941124,40.681206,34.911526,58.53027
2015-10-01,111.527328,48.383606,37.171299,62.52475
2015-11-01,110.407394,49.95533,37.408279,63.121216
2015-12-01,98.657883,51.337688,37.995872,59.647373
2016-01-01,91.23465,50.97681,37.960499,59.323185
2016-02-01,90.625412,47.081139,38.14624,58.921391
2016-03-01,102.708244,51.473286,41.02953,58.806583
2016-04-01,88.337189,46.477879,39.932266,56.531578
2016-05-01,94.104469,49.394974,39.753998,52.9636
2016-06-01,90.638489,48.023003,40.404686,52.944412
2016-07-01,98.801666,53.194141,39.18763,53.387657
2016-08-01,100.593552,53.926167,39.007992,55.446209
2016-09-01,107.763504,54.394482,38.011013,50.646133
2016-10-01,108.230583,56.585373,38.393997,48.404499
2016-11-01,105.351799,56.906445,36.537685,48.298397
2016-12-01,110.97081,59.078251,38.353313,49.031509
2017-01-01,116.269257,61.464577,37.960651,51.212364
2017-02-01,131.25444,60.827587,38.316788,55.33646
2017-03-01,138.241959,62.99456,38.755108,53.952087
2017-04-01,138.23233,65.481438,39.751255,53.809437
2017-05-01,146.998749,66.801399,41.888519,51.459343
2017-06-01,139.160446,66.308907,41.317348,57.295734
2017-07-01,143.711487,69.935555,42.5769,57.539742
2017-08-01,158.466263,71.926834,42.307541,51.459339
2017-09-01,149.50444,72.039268,41.805981,50.697506
2017-10-01,163.977585,80.443352,43.046753,53.767719
2017-11-01,166.703461,81.400795,42.850151,59.077011
2017-12-01,164.75206,83.141182,43.305294,61.159676
2018-01-01,162.999695,92.345612,44.919323,66.925179
2018-02-01,173.40683,91.140381,40.794559,65.757767
2018-03-01,164.006378,89.12719,40.992775,65.17897
2018-04-01,161.543045,91.324371,41.145153,67.294899
2018-05-01,182.667023,96.519478,40.945187,70.650284
2018-06-01,181.644363,96.712257,41.764091,78.404114
2018-07-01,186.727371,104.038513,44.797169,75.889862
2018-08-01,223.368286,110.168228,42.818138,81.109695
2018-09-01,222.290543,112.600616,44.374462,83.80217
2018-10-01,215.515686,105.157578,46.389294,74.227036
2018-11-01,175.851181,109.174454,48.830841,74.306168
2018-12-01,155.871613,100.430641,46.23856,73.554459
2019-01-01,164.468567,103.25856,47.000256,81.23333
2019-02-01,171.099075,110.773308,44.275742,85.052925
2019-03-01,188.505081,117.115051,45.760063,83.54493
2019-04-01,199.143539,129.686493,48.326653,87.360527
2019-05-01,173.738281,122.814903,48.395607,76.727669
2019-06-01,197.170853,133.515411,50.158848,82.237549
2019-07-01,212.233627,135.817734,52.248001,85.808327
2019-08-01,207.949905,137.402451,54.640507,84.282265
2019-09-01,223.970001,139.029999,54.044861,93.919998
